item_name	itemprice	chain
בירה קרלסברג פחית 50	13.5	Super Yehuda
בירה קרלסברג פחית 50	10.9	Tiv Taam
בירה קרלסברג פחית 50	10.0	Yellow
בירה קרלסברג פחית 50	10.0	Yohananof
בירה קרלסברג פחית 50	9.9	city market
בירה קרלסברג רביעייה	37.9	Dor Alon
בירה קרלסברג רביעייה	35.9	Tiv Taam
בירה קרלסברג רביעייה	34.9	Yohananof
בירה קרלסברד LUMA בק	11.9	Dor Alon
בירה קרלסברד LUMA בק	7.9	Tiv Taam
בירה קרלסברד LUMA בק	7.9	city market
בירה שופרהופר חיטה	11.9	Dor Alon
בירה שופרהופר חיטה	10.9	Tiv Taam
בירה שחורה דיאט נשר	7.9	Rami Levi
בירה שחורה דיאט נשר	8.9	Shufersal
בירה שחורה דיאט נשר	11.5	Super Yehuda
בירה שחורה דיאט נשר	9.5	Tiv Taam
בירה שחורה דיאט נשר	8.6	Yellow
בירה שחורה דיאט נשר	8.6	Yohananof
בירה שחורה דיאט נשר	10.9	city market
בירה שחורה נשר מאלט	29.9	Rami Levi
בירה שחורה נשר מאלט	29.9	Shufersal
בירה שחורה נשר מאלט	35.5	Super Yehuda
בירה שחורה נשר מאלט	33.9	Tiv Taam
בירה שחורה נשר מאלט	29.9	Yellow
בירה שחורה נשר מאלט	29.9	Yohananof
בירה שחורה נשר מאלט	34.9	city market
"בירה שנדי אפרסק 330 מ""ל."	5.9	Hazi Hinam
"בירה שנדי אפרסק 330 מ""ל."	7.9	city market
"בירה שנדי לימון ליים 330 מ""ל"	5.9	Hazi Hinam
"בירה שנדי לימון ליים 330 מ""ל"	8.9	city market
"בירה שנדי תפוח 330 מ""ל"	5.9	Hazi Hinam
"בירה שנדי תפוח 330 מ""ל"	8.9	city market
בירה שפירא פייל אייל	17.9	Dor Alon
בירה שפירא פייל אייל	15.9	Shufersal
בירה שפירא פייל אייל	14.5	Tiv Taam
בירה שקמה אייל ענברי	15.9	Dor Alon
בירה שקמה אייל ענברי	14.1	Hazi Hinam
"בירה שקמה בירת חיטה מעוננת בקבוק 330 מ""ל"	14.1	Hazi Hinam
"בירה שקמה בירת חיטה מעוננת בקבוק 330 מ""ל"	14.9	Tiv Taam
בירה שקמה בק איי 330	15.9	Dor Alon
בירה שקמה בק איי 330	14.1	Hazi Hinam
בירה שקמה בק איי 330	14.9	Tiv Taam
בירה שקמה בק איי 330	12.9	city market
בישקוטים בונומי 200	9.9	Dor Alon
בישקוטים בונומי 200	8.0	Hazi Hinam
בישקוטים בונומי 200	7.6	Rami Levi
בישקוטים בונומי 200	8.9	Shufersal
בישקוטים בונומי 200	11.5	Super Yehuda
בישקוטים בונומי 200	9.7	Tiv Taam
בישקוטים בונומי 200	8.0	Yellow
בישקוטים בונומי 200	8.0	Yohananof
בישקוטים בונומי 200	8.9	city market
בישקוטים צוקטה  200ג	7.9	Dor Alon
בישקוטים צוקטה  200ג	7.0	Hazi Hinam
בישקוטים צוקטה  200ג	6.9	Shufersal
בישקוטים צוקטה  200ג	7.0	Yohananof
בית השיטה זית מרוקאי	15.7	Rami Levi
בית השיטה זית מרוקאי	15.9	Yellow
בית השיטה זית מרוקאי	15.9	Yohananof
בית השיטה זית מרוקאי	16.9	city market
בית השיטה חרוזית קוק	17.8	Rami Levi
בית השיטה חרוזית קוק	18.9	Shufersal
בית השיטה חרוזית קוק	16.9	Tiv Taam
בית השיטה חרוזית קוק	14.9	Yellow
בית השיטה חרוזית קוק	16.9	city market
בית השיטה טונה בשמן קנולה  4*98גרם	25.9	Tiv Taam
בית השיטה טונה בשמן קנולה  4*98גרם	27.9	city market
בכור בזיליקום	6.9	Super Yehuda
בכור בזיליקום	5.9	city market
בכור לבבות קיסר	11.9	Super Yehuda
בכור לבבות קיסר	11.9	city market
בכור סלנובה מהדרין	14.9	Super Yehuda
בכור סלנובה מהדרין	11.9	city market
בכור תרד ניו זילנדי	14.9	Super Yehuda
בכור תרד ניו זילנדי	9.9	city market
בלגה ממרח אגוזי לוז	14.9	Rami Levi
בלגה ממרח אגוזי לוז	15.9	Shufersal
בלגה ממרח אגוזי לוז	15.9	Yellow
בלגיאן - צדפי שוקולד בלגי 195 גר	26.9	Tiv Taam
בלגיאן - צדפי שוקולד בלגי 195 גר	19.9	city market
בלה איטליה מנת פסטה פורמגי	8.0	Hazi Hinam
בלה איטליה מנת פסטה פורמגי	9.9	Shufersal
בלה איטליה מנת פסטה פורמגי	8.9	Tiv Taam
בלה מוצרלה די בופלו במליחות עדינה 150 גר' לאחר סינון	27.2	Hazi Hinam
בלה מוצרלה די בופלו במליחות עדינה 150 גר' לאחר סינון	27.5	Tiv Taam
בלו בנד עם מלח 200 ג	6.9	Dor Alon
בלו בנד עם מלח 200 ג	6.3	Hazi Hinam
בלו בנד עם מלח 200 ג	6.1	Rami Levi
בלו בנד עם מלח 200 ג	6.8	Shufersal
בלו בנד עם מלח 200 ג	7.9	Super Yehuda
בלו בנד עם מלח 200 ג	5.9	city market
בלו ווין מבית בלו נאן750	52.9	Shufersal
בלו ווין מבית בלו נאן750	59.9	city market
"בלו לאגון קוקטייל 330 מ""ל"	10.0	Hazi Hinam
"בלו לאגון קוקטייל 330 מ""ל"	11.9	Shufersal
"בלו לאגון קוקטייל 330 מ""ל"	9.9	Tiv Taam
"בלו לאגון קוקטייל 330 מ""ל"	10.0	Yellow
"בלו לאגון קוקטייל 330 מ""ל"	11.9	city market
בלו נאן  יין לבן מוסקטו כשר	50.4	Hazi Hinam
בלו נאן  יין לבן מוסקטו כשר	49.9	Yellow
בלו נאן  יין לבן מוסקטו כשר	49.9	Yohananof
בלו נאן  יין לבן מוסקטו כשר	59.9	city market
"בלו נאן מבעבע יבש מהדורת הזהב 750 מ""ל"	62.9	Tiv Taam
"בלו נאן מבעבע יבש מהדורת הזהב 750 מ""ל"	59.9	city market
בלו סיקס ללא סוכר 25	3.9	Rami Levi
בלו סיקס ללא סוכר 25	4.5	Tiv Taam
בלו סיקס ללא סוכר 25	5.0	city market
בלובנד עם מלח 200 גרם	6.3	Hazi Hinam
בלובנד עם מלח 200 גרם	6.2	Yellow
בלובנד עם מלח 200 גרם	5.9	city market
בלוודר וודקה 700 מל	114.9	Rami Levi
בלוודר וודקה 700 מל	119.9	Shufersal
בלוודר וודקה 700 מל	119.9	Tiv Taam
בלונס מקלוני אוזניים	7.9	Dor Alon
בלונס מקלוני אוזניים	7.0	Hazi Hinam
בלונס מקלוני אוזניים	6.9	Tiv Taam
בלזן היט וניל 220גרם	13.9	Dor Alon
בלזן היט וניל 220גרם	12.5	Hazi Hinam
בלזן היט וניל 220גרם	10.8	Rami Levi
בלזן היט וניל 220גרם	11.9	Shufersal
בלזן היט וניל 220גרם	16.5	Tiv Taam
בלזן היט וניל 220גרם	10.9	Yellow
בלזן היט וניל 220גרם	10.9	Yohananof
בלזן היט וניל 220גרם	6.9	city market
"בלינצ'ס במילוי תפו""א ופטריות"	16.9	Hazi Hinam
"בלינצ'ס במילוי תפו""א ופטריות"	16.9	Shufersal
"בלינצ'ס במילוי תפו""א ופטריות"	17.9	Tiv Taam
בלינצ'ס גבינת טבורוג360ג	16.9	Shufersal
בלינצ'ס גבינת טבורוג360ג	17.9	Tiv Taam
בלינצס גבינה  ותות בראנץ	15.3	Hazi Hinam
בלינצס גבינה  ותות בראנץ	12.9	Yellow
בלינצס גבינה  ותות בראנץ	12.9	Yohananof
בלינצס גבינה  ותות בראנץ	19.9	city market
בלינצס מילוי דובדבנים360	16.9	Shufersal
בלינצס מילוי דובדבנים360	17.9	Tiv Taam
בלינצס+ממרח קקאו אגוז360	16.9	Shufersal
בלינצס+ממרח קקאו אגוז360	17.9	Tiv Taam
בליסימו וניל פליק 900מל	10.0	Shufersal
בליסימו וניל פליק 900מל	19.9	city market
בלנדר חשמלי(מוט) 350	79.9	Rami Levi
בלנדר חשמלי(מוט) 350	89.9	city market
בלקוני עוגות מיקס מק	15.8	Rami Levi
בלקוני עוגות מיקס מק	21.9	Tiv Taam
בלקוני עוגות מיקס מק	15.9	city market
במבה 25 ג'	2.5	Super Yehuda
במבה 25 ג'	3.0	city market
במבה 80ג'	4.6	Hazi Hinam
במבה 80ג'	4.0	Rami Levi
במבה 80ג'	4.9	Shufersal
במבה 80ג'	7.9	Super Yehuda
במבה 80ג'	4.9	Tiv Taam
במבה 80ג'	4.5	Yellow
במבה 80ג'	4.5	Yohananof
במבה 80ג'	4.9	city market
במבה אייס קפה 150 גר	13.9	Dor Alon
במבה אייס קפה 150 גר	9.0	Rami Levi
במבה אייס קפה 150 גר	12.5	Tiv Taam
במבה אייס קפה 150 גר	9.9	Yohananof
במבה ביסלי בצל מיקס	7.9	Dor Alon
במבה ביסלי בצל מיקס	4.6	Hazi Hinam
במבה ביסלי בצל מיקס	4.5	Rami Levi
במבה ביסלי בצל מיקס	7.9	Super Yehuda
במבה ביסלי בצל מיקס	5.9	Tiv Taam
במבה ביסלי בצל מיקס	4.5	Yellow
במבה ביסלי בצל מיקס	4.5	Yohananof
במבה ביסלי בצל מיקס	5.9	city market
במבה ביסלי בצל מיקס 150ג'	10.9	Hazi Hinam
במבה ביסלי בצל מיקס 150ג'	12.9	city market
במבה ביסלי ברביקיו מ	7.9	Dor Alon
במבה ביסלי ברביקיו מ	4.6	Hazi Hinam
במבה ביסלי ברביקיו מ	4.5	Rami Levi
במבה ביסלי ברביקיו מ	7.9	Super Yehuda
במבה ביסלי ברביקיו מ	5.9	Tiv Taam
במבה ביסלי ברביקיו מ	4.5	Yellow
במבה ביסלי ברביקיו מ	4.5	Yohananof
במבה ביסלי ברביקיו מ	5.9	city market
במבה ביסלי ברביקיו מיקס 150ג'	10.9	Hazi Hinam
במבה ביסלי ברביקיו מיקס 150ג'	12.9	city market
במבה ביסלי גריל מיקס	13.9	Dor Alon
במבה ביסלי גריל מיקס	10.9	Hazi Hinam
במבה ביסלי גריל מיקס	9.0	Rami Levi
במבה ביסלי גריל מיקס	9.9	Tiv Taam
במבה ביסלי גריל מיקס	9.0	Yellow
במבה ביסלי גריל מיקס	11.9	city market
במבה במילוי מרשמלו ע	13.9	Dor Alon
במבה במילוי מרשמלו ע	13.9	Tiv Taam
במבה במילוי מרשמלו ע	9.9	Yellow
במבה במילוי מרשמלו ע	9.9	Yohananof
במבה במילוי קרם חלבה	8.9	Dor Alon
במבה במילוי קרם חלבה	4.6	Hazi Hinam
במבה במילוי קרם חלבה	4.5	Rami Levi
במבה במילוי קרם חלבה	7.9	Super Yehuda
במבה במילוי קרם חלבה	4.9	Tiv Taam
במבה במילוי קרם חלבה	4.5	Yellow
במבה במילוי קרם חלבה	4.5	Yohananof
במבה במילוי קרם חלבה	5.9	city market
במבה במילוי קרם נוגט	8.9	Dor Alon
במבה במילוי קרם נוגט	4.6	Hazi Hinam
במבה במילוי קרם נוגט	4.5	Rami Levi
במבה במילוי קרם נוגט	4.9	Shufersal
במבה במילוי קרם נוגט	7.9	Super Yehuda
במבה במילוי קרם נוגט	4.9	Tiv Taam
במבה במילוי קרם נוגט	4.5	Yellow
במבה במילוי קרם נוגט	4.5	Yohananof
במבה במילוי קרם נוגט	5.9	city market
במבה במילוי קרם פתיב	8.9	Dor Alon
במבה במילוי קרם פתיב	5.9	city market
במבה גדול 80ג'	4.6	Hazi Hinam
במבה גדול 80ג'	4.9	Shufersal
במבה גדול 80ג'	7.9	Super Yehuda
במבה גדול 80ג'	4.9	Tiv Taam
במבה גדול 80ג'	4.5	Yellow
במבה גדול 80ג'	4.5	Yohananof
במבה גדול 80ג'	4.5	city market
במבה יום הולדת 15*20 ג'	27.9	Hazi Hinam
במבה יום הולדת 15*20 ג'	24.1	Rami Levi
במבה יום הולדת 15*20 ג'	27.9	Shufersal
במבה יום הולדת 15*20 ג'	27.9	Tiv Taam
במבה יום הולדת 15*20 ג'	25.9	Yellow
במבה יום הולדת 15*20 ג'	25.9	Yohananof
במבה יום הולדת 25גרם	4.9	Dor Alon
במבה יום הולדת 25גרם	2.9	Hazi Hinam
במבה יום הולדת 25גרם	3.2	Shufersal
במבה יום הולדת 25גרם	3.2	Tiv Taam
במבה מתוקה 30גרם	4.9	Dor Alon
במבה מתוקה 30גרם	2.9	Hazi Hinam
במבה מתוקה 30גרם	3.5	Shufersal
במבה מתוקה 30גרם	5.9	Super Yehuda
במבה מתוקה 30גרם	3.4	Tiv Taam
במבה מתוקה 30גרם	2.5	Yellow
במבה מתוקה 30גרם	2.5	Yohananof
במבה מתוקה 30גרם	3.9	city market
במבה מתוקה אריזה גדו	12.9	Dor Alon
במבה מתוקה אריזה גדו	8.0	Rami Levi
במבה מתוקה אריזה גדו	9.9	Tiv Taam
במבה מתוקה אריזה גדו	9.9	city market
במבה מתוקה מארז  10*15 גרם	16.5	Tiv Taam
במבה מתוקה מארז  10*15 גרם	14.9	city market
במבה נוגט 150גרם	13.9	Dor Alon
במבה נוגט 150גרם	13.5	Tiv Taam
במבה נוגט 150גרם	9.9	Yellow
במבה נוגט 150גרם	11.9	city market
במבה פרו 80ג'	4.6	Hazi Hinam
במבה פרו 80ג'	4.9	Tiv Taam
במבה פרו 80ג'	4.5	Yellow
במבה פרו 80ג'	4.5	Yohananof
במבה פרו 80ג'	5.9	city market
במבה קלאסי 200 גרם	13.9	Dor Alon
במבה קלאסי 200 גרם	10.9	Hazi Hinam
במבה קלאסי 200 גרם	9.0	Rami Levi
במבה קלאסי 200 גרם	11.9	Shufersal
במבה קלאסי 200 גרם	14.9	Super Yehuda
במבה קלאסי 200 גרם	11.9	Tiv Taam
במבה קלאסי 200 גרם	9.0	Yellow
במבה קלאסי 200 גרם	9.0	Yohananof
במבה קלאסי 200 גרם	11.9	city market
במבה קלאסי 60גרם	6.9	Dor Alon
במבה קלאסי 60גרם	6.9	Super Yehuda
במבה קלאסי 60גרם	4.9	city market
במבה שמש 70ג'	4.6	Hazi Hinam
במבה שמש 70ג'	4.5	Rami Levi
במבה שמש 70ג'	4.9	Shufersal
במבה שמש 70ג'	7.9	Super Yehuda
במבה שמש 70ג'	4.9	Tiv Taam
במבה שמש 70ג'	4.5	Yellow
במיה כפתורים 400 גר	10.0	Yellow
במיה כפתורים 400 גר	10.0	Yohananof
בנבוניירה לינדור ווי	44.9	Dor Alon
בנבוניירה לינדור ווי	29.9	Hazi Hinam
בנבוניירה לינדור ווי	39.9	Tiv Taam
בנוסח מוצרלה 350 גרם	18.9	Shufersal
בנוסח מוצרלה 350 גרם	16.6	Yellow
בנוסח מוצרלה 350 גרם	16.6	Yohananof
בננה 500 גרם	10.9	Yellow
בננה 500 גרם	10.9	Yohananof
בננה צ'יפס	45.0	Shufersal
בננה צ'יפס	39.0	Yellow
בננה.	8.9	Yellow
בננה.	8.9	Yohananof
בננית 150 גרם	13.1	Rami Levi
בננית 150 גרם	13.1	Yohananof
בסגנון פטה פטינה21%משקל	35.0	Shufersal
בסגנון פטה פטינה21%משקל	26.0	Yellow
בסגנון פטה פטינה21%משקל	26.0	Yohananof
בסיס להכנת קצפת ריצ'	6.9	Rami Levi
בסיס להכנת קצפת ריצ'	9.2	Shufersal
בסיס להכנת קצפת ריצ'	9.9	Super Yehuda
בסיס להכנת קצפת ריצ'	12.5	Tiv Taam
בסיס להכנת קצפת ריצ'	7.9	Yellow
בסיס להכנת קצפת ריצ'	7.9	Yohananof
בסיס להכנת קצפת ריצ'	8.9	city market
בסיס לפיצה ללא גלוטן300ג	36.9	Shufersal
בסיס לפיצה ללא גלוטן300ג	44.9	Tiv Taam
בסיס לפיצה קיטו 210	54.9	Dor Alon
בסיס לפיצה קיטו 210	59.9	Tiv Taam
"בסיס לקצפת 425 מ""ל"	10.9	Hazi Hinam
"בסיס לקצפת 425 מ""ל"	9.9	Rami Levi
"בסיס לקצפת 425 מ""ל"	13.5	Shufersal
בסיס לשקשוקה אחלה 400 גרם	15.7	Hazi Hinam
בסיס לשקשוקה אחלה 400 גרם	19.5	Tiv Taam
בסיס לשקשוקה אחלה 400 גרם	14.9	city market
בסיס צמחי לבישול והקצפה ויולייף	15.9	Hazi Hinam
בסיס צמחי לבישול והקצפה ויולייף	16.9	Tiv Taam
בסיס רוטב ברילה עגבנ	17.9	Dor Alon
בסיס רוטב ברילה עגבנ	16.1	Hazi Hinam
בסיס רוטב ברילה עגבנ	14.8	Rami Levi
בסיס רוטב ברילה עגבנ	15.9	Shufersal
בסיס רוטב ברילה עגבנ	15.9	Tiv Taam
בסיס רוטב ברילה עגבנ	13.9	Yellow
בסיס רוטב ברילה עגבנ	13.9	Yohananof
בסיס רוטב ברילה עגבנ	16.9	city market
בפלות בטעם אגוזים 20	8.9	Dor Alon
בפלות בטעם אגוזים 20	6.9	Hazi Hinam
בפלות בטעם אגוזים 20	5.3	Rami Levi
בפלות בטעם אגוזים 20	7.9	Tiv Taam
בפלות בטעם אגוזים 20	6.5	Yellow
בפלות בטעם אגוזים 20	6.5	Yohananof
בפלות בטעם לימון 200 גרם.	5.7	Hazi Hinam
בפלות בטעם לימון 200 גרם.	5.3	Rami Levi
בפלות בטעם לימון 200 גרם.	6.5	Shufersal
בפלות בטעם לימון 200 גרם.	7.9	Super Yehuda
בפלות בטעם לימון 200 גרם.	6.5	Yellow
בפלות בטעם לימון 200 גרם.	6.5	Yohananof
בפלות בטעם לימון 200 גרם.	5.9	city market
בפלות טורטית 360 גרם	27.9	Dor Alon
בפלות טורטית 360 גרם	28.9	Tiv Taam
בפלות טורטית 360 גרם	19.9	city market
בפלות שוקולד 200 גרם	8.9	Dor Alon
בפלות שוקולד 200 גרם	6.9	Hazi Hinam
בפלות שוקולד 200 גרם	5.3	Rami Levi
בפלות שוקולד 200 גרם	6.5	Shufersal
בפלות שוקולד 200 גרם	8.9	Super Yehuda
בפלות שוקולד 200 גרם	6.5	Yellow
בפלות שוקולד 200 גרם	6.5	Yohananof
בפלות שוקולד 200 גרם	5.9	city market
בצל חצי מטוגן דורות	11.0	Hazi Hinam
בצל חצי מטוגן דורות	15.9	Super Yehuda
בצל חצי מטוגן דורות	10.0	Yohananof
בצל חצי מטוגן דורות	11.9	city market
בצל ירוק א.אדמה	6.9	Rami Levi
בצל ירוק א.אדמה	4.9	city market
בצל ירוק יח	7.9	Dor Alon
בצל ירוק יח	5.9	city market
בצל ירוק שדות בעמק	7.9	Rami Levi
בצל ירוק שדות בעמק	7.9	Super Yehuda
בצל ירוק(שקית ) חסלט	7.9	Rami Levi
בצל ירוק(שקית ) חסלט	7.9	Yellow
בצל ירוק(שקית ) חסלט	7.9	Yohananof
בצל סגול ובצל לבן פרוסים מוקפאים סנפרוסט	12.9	Hazi Hinam
בצל סגול ובצל לבן פרוסים מוקפאים סנפרוסט	16.9	Rami Levi
בצל סגול ובצל לבן פרוסים מוקפאים סנפרוסט	17.0	Yohananof
בצל קצוץ סנפרוסט	12.9	Hazi Hinam
בצל קצוץ סנפרוסט	18.9	Shufersal
בצל קצוץ סנפרוסט	22.9	Tiv Taam
בצל קצוץ סנפרוסט	17.9	city market
בצלצלי איזי שאלוט חו	8.9	Rami Levi
בצלצלי איזי שאלוט חו	14.9	Shufersal
בצלצלי פנינה בחומץ 3	12.9	Dor Alon
בצלצלי פנינה בחומץ 3	14.9	Tiv Taam
בצלצלי שלוט	9.9	Rami Levi
בצלצלי שלוט	14.9	Shufersal
בצלצלי שלוט	9.9	Yellow
בצלצלי שלוט	9.9	Yohananof
בצלצלי שלוט	19.9	city market
בצק אמפנדאס 700 גרם	38.9	Tiv Taam
בצק אמפנדאס 700 גרם	26.9	Yohananof
בצק אפוי למחצה 250 גרם	17.9	Shufersal
בצק אפוי למחצה 250 גרם	15.9	Yohananof
בצק בגביע אומגה	11.9	Dor Alon
בצק בגביע אומגה	11.9	city market
בצק לכיסונים מצונן עיגולים שימרית	17.1	Hazi Hinam
בצק לכיסונים מצונן עיגולים שימרית	17.9	Shufersal
בצק לכיסונים מצונן עיגולים שימרית	20.9	Super Yehuda
בצק לכיסונים מצונן עיגולים שימרית	17.9	Tiv Taam
בצק לכיסונים מצונן עיגולים שימרית	17.0	Yellow
בצק לכיסונים מצונן עיגולים שימרית	17.0	Yohananof
בצק סוכר- המרשלג 600 גרם	20.1	Hazi Hinam
בצק סוכר- המרשלג 600 גרם	17.9	Tiv Taam
"בצק עלים 1 ק""ג"	19.1	Hazi Hinam
"בצק עלים 1 ק""ג"	22.5	Shufersal
"בצק עלים 1 ק""ג"	23.9	Super Yehuda
"בצק עלים 1 ק""ג"	17.0	Yellow
"בצק עלים 1 ק""ג"	17.0	Yohananof
"בצק עלים 1 ק""ג"	17.9	city market
"בצק עלים 1 ק""ג ציפור"	15.0	Yellow
"בצק עלים 1 ק""ג ציפור"	16.9	city market
"בצק עלים 1ק""ג צנעני."	18.1	Hazi Hinam
"בצק עלים 1ק""ג צנעני."	18.1	Yellow
"בצק עלים 1ק""ג צנעני."	18.1	Yohananof
בצק עלים חמאה מעדנות	30.2	Rami Levi
בצק עלים חמאה מעדנות	19.9	Shufersal
בצק עלים חמאה מעדנות	30.2	Yellow
בצק עלים חמאה מעדנות	30.2	Yohananof
בצק עלים מעדנות  1 ק	27.9	Dor Alon
בצק עלים מעדנות  1 ק	21.9	Rami Levi
בצק עלים מעדנות  1 ק	19.9	Shufersal
בצק עלים מעדנות  1 ק	27.9	Super Yehuda
בצק עלים מעדנות  1 ק	19.9	Tiv Taam
בצק עלים מעדנות  1 ק	17.9	Yellow
בצק עלים מעדנות  1 ק	17.9	Yohananof
בצק עלים מעדנות  1 ק	26.9	city market
בצק עלים מצונן ומוכן	18.9	Dor Alon
בצק עלים מצונן ומוכן	15.0	Hazi Hinam
בצק עלים מצונן ומוכן	14.8	Rami Levi
בצק עלים מצונן ומוכן	15.9	Shufersal
בצק עלים מצונן ומוכן	15.9	Tiv Taam
בצק עלים מצונן ומוכן	15.0	Yellow
בצק עלים מצונן ומוכן	15.0	Yohananof
בצק עלים מצונן ומוכן	18.9	city market
בצק עלים מרודד זוגלו	14.9	Rami Levi
בצק עלים מרודד זוגלו	15.0	Yellow
בצק עלים מרודד זוגלו	15.0	Yohananof
בצק עלים מרודד זוגלו	14.9	city market
בצק עלים מרודד ינון	13.1	Rami Levi
בצק עלים מרודד ינון	14.0	Yellow
"בצק עלים שחף 1 ק""ג."	13.1	Hazi Hinam
"בצק עלים שחף 1 ק""ג."	13.0	Yellow
"בצק עלים שחף 1 ק""ג."	13.0	Yohananof
"בצק עלים שחף 1 ק""ג."	16.9	city market
"בצק עלים שחף 1.5 ק""ג."	18.1	Hazi Hinam
"בצק עלים שחף 1.5 ק""ג."	18.1	Rami Levi
"בצק עלים שחף 1.5 ק""ג."	18.1	Yellow
"בצק עלים שחף 1.5 ק""ג."	18.1	Yohananof
בצק פילאס 500גר זוגל	14.9	Rami Levi
בצק פילאס 500גר זוגל	15.0	Yellow
בצק פילאס 500גר זוגל	15.0	Yohananof
בצק פילאס 500גר זוגל	19.9	city market
בצק פילאס מגולגל 600 גרם-שחף	15.1	Hazi Hinam
בצק פילאס מגולגל 600 גרם-שחף	14.9	Rami Levi
בצק פילאס שלושת האופ	16.8	Rami Levi
בצק פילאס שלושת האופ	19.9	city market
בצק פילאס תורכי מעדנ	29.9	Dor Alon
בצק פילאס תורכי מעדנ	20.9	Hazi Hinam
בצק פילאס תורכי מעדנ	24.1	Rami Levi
בצק פילאס תורכי מעדנ	19.9	Shufersal
בצק פילאס תורכי מעדנ	32.5	Super Yehuda
בצק פילאס תורכי מעדנ	19.9	Tiv Taam
בצק פילאס תורכי מעדנ	24.1	Yellow
בצק פילאס תורכי מעדנ	24.1	Yohananof
בצק פילאס תורכי מעדנ	26.9	city market
בצק פילו 500 גרם-שחף.	15.1	Hazi Hinam
בצק פילו 500 גרם-שחף.	14.7	Rami Levi
בצק פילו 500 גרם-שחף.	15.0	Yellow
בצק פילו 500 גרם-שחף.	19.9	city market
בצק פילו 500גר זוגלו	14.9	Rami Levi
בצק פילו 500גר זוגלו	15.0	Yellow
בצק פילו 500גר זוגלו	15.0	Yohananof
בצק פילו 500גר זוגלו	19.9	city market
בצק פילו מוכן לאפייה	18.9	Dor Alon
בצק פילו מוכן לאפייה	15.0	Hazi Hinam
בצק פילו מוכן לאפייה	14.8	Rami Levi
בצק פילו מוכן לאפייה	15.9	Shufersal
בצק פילו מוכן לאפייה	18.9	Super Yehuda
בצק פילו מוכן לאפייה	15.9	Tiv Taam
בצק פילו מוכן לאפייה	15.0	Yellow
בצק פילו מוכן לאפייה	15.0	Yohananof
בצק פילו מוכן לאפייה	17.9	city market
בצק פילו שלושת האופי	25.9	Dor Alon
בצק פילו שלושת האופי	15.0	Hazi Hinam
בצק פילו שלושת האופי	16.8	Rami Levi
בצק פילו שלושת האופי	20.9	Shufersal
בצק פילו שלושת האופי	23.9	Tiv Taam
בצק פילו שלושת האופי	17.0	Yellow
בצק פילו שלושת האופי	17.0	Yohananof
בצק פילו שלושת האופי	21.9	city market
בצק פילו.	21.9	Hazi Hinam
בצק פילו.	24.1	Rami Levi
בצק פילו.	19.9	Shufersal
בצק פילו.	32.5	Super Yehuda
בצק פילו.	30.9	Tiv Taam
בצק פילו.	24.1	Yellow
בצק פילו.	24.1	Yohananof
בצק פילו.	26.9	city market
בצק פיצה דק מוכן לאפיה שמרית 415 גרם	17.1	Hazi Hinam
בצק פיצה דק מוכן לאפיה שמרית 415 גרם	15.8	Rami Levi
בצק פיצה דק מוכן לאפיה שמרית 415 גרם	17.9	Shufersal
בצק פיצה דק מוכן לאפיה שמרית 415 גרם	17.9	Tiv Taam
בצק פיצה דק מוכן לאפיה שמרית 415 גרם	15.9	Yellow
בצק פיצה דק מוכן לאפיה שמרית 415 גרם	15.9	Yohananof
בצק פיצה דק מוכן לאפיה שמרית 415 גרם	19.9	city market
בצק פיצה קראסט שימרית 500 גרם	20.1	Hazi Hinam
בצק פיצה קראסט שימרית 500 גרם	24.9	Super Yehuda
בצק פיצה קראסט שימרית 500 גרם	20.1	Yellow
בצק פסטה מצונן מרודד ומגולגל שימרית	20.1	Hazi Hinam
בצק פסטה מצונן מרודד ומגולגל שימרית	19.9	Rami Levi
בצק פסטה מצונן מרודד ומגולגל שימרית	20.5	Shufersal
בצק פסטה מצונן מרודד ומגולגל שימרית	25.9	Tiv Taam
בצק פסטה מצונן מרודד ומגולגל שימרית	20.1	Yohananof
בצק פסטה מצונן מרודד ומגולגל שימרית	23.9	city market
בצק פריך למאפים מתוק	24.1	Rami Levi
בצק פריך למאפים מתוק	31.9	Tiv Taam
בצק פריך למאפים מתוק	24.1	Yellow
בצק פריך למאפים מתוק	24.1	Yohananof
בצק פריך למאפים מתוק	25.9	city market
בצק פריך מלוח.	20.9	Hazi Hinam
בצק פריך מלוח.	23.9	Rami Levi
בצק פריך מלוח.	19.9	Shufersal
בצק פריך מלוח.	32.5	Super Yehuda
בצק פריך מלוח.	32.9	Tiv Taam
בצק פריך מלוח.	24.1	Yellow
בצק פריך מלוח.	24.1	Yohananof
בצק פריך מלוח.	26.9	city market
בקבוק 320מל MAM	44.9	Hazi Hinam
בקבוק 320מל MAM	44.9	city market
"בקבוק 330מ""ל MAM"	44.9	Hazi Hinam
"בקבוק 330מ""ל MAM"	44.9	city market
"בקבוק אימון 220 מ""ל MAM"	44.9	Hazi Hinam
"בקבוק אימון 220 מ""ל MAM"	45.4	Rami Levi
בקבוק אנטי קוליק 260	40.2	Yellow
בקבוק אנטי קוליק 260	49.9	city market
"בקבוק אנטי קוליק 260 מ""ל - ורוד"	44.9	Hazi Hinam
"בקבוק אנטי קוליק 260 מ""ל - ורוד"	40.4	Rami Levi
"בקבוק אנטי קוליק 260 מ""ל - ורוד"	49.9	city market
"בקבוק אנטי קוליק 320 מ""ל - ירוק"	44.9	Hazi Hinam
